tick	cells	org_energy	pending	decay_energy	terrain_sum	terrain_center	min_cell_energy	max_cell_energy	system_energy	event
0	3	0.335382	0.000000	0.045000	459.000000	11.000000	0.109981	0.113309	459.380382	
1	8	0.836975	0.000000	-1.102046	495.000000	11.000000	0.056912	0.199154	494.734929	
2	5	0.412828	0.000000	-2.055642	495.000000	11.000000	0.052836	0.107337	493.357187	CELLS_LOST 3
3	8	0.563573	0.000000	-3.038109	495.000000	11.000000	0.050180	0.099885	492.525464	
4	15	1.413693	0.000000	-5.167282	495.000000	11.000000	0.053459	0.148366	491.246410	
5	22	3.019972	0.000000	-9.819059	495.000000	11.000000	0.051604	0.303908	488.200913	
6	26	3.784106	0.000000	-13.950947	495.000000	11.000000	0.059543	0.283202	484.833160	
7	29	4.574465	0.000000	-19.138004	495.000000	11.000000	0.054386	0.432578	480.436461	
8	28	4.251969	0.000000	-22.867155	495.000000	11.000000	0.052259	0.343506	476.384814	CELLS_LOST 1
9	35	4.886510	0.000000	-27.920376	495.000000	11.000000	0.051959	0.372620	471.966134	
10	31	5.256684	0.000000	-33.351334	495.000000	11.000000	0.054567	0.329842	466.905349	CELLS_LOST 4
11	44	6.874198	0.000000	-40.393092	495.000000	11.000000	0.053562	0.372353	461.481106	
12	42	7.330338	0.000000	-47.982160	495.000000	11.000000	0.051206	0.432082	454.348179	CELLS_LOST 2
13	54	8.783606	0.000000	-56.481548	495.000000	11.000000	0.052217	0.373573	447.302058	
14	58	9.777924	0.000000	-65.632516	495.000000	11.000000	0.050945	0.449234	439.145407	
15	65	11.056747	0.000000	-77.568009	495.000000	11.000000	0.050529	0.399992	428.488739	
16	41	4.332817	0.000000	-75.220032	1227.238037	0.484478	0.050882	0.210712	1156.350822	CELLS_LOST 24
17	20	1.417636	0.000000	-73.638410	1232.249756	0.484229	0.050879	0.097610	1160.028982	CELLS_LOST 21
18	20	1.541345	0.000000	-72.862118	1236.133057	0.483972	0.050948	0.104485	1164.812283	
19	21	1.648563	0.000000	-72.069337	1241.031738	0.483700	0.053992	0.110264	1170.610964	
20	22	1.779647	0.000000	-71.255421	1245.575562	0.483412	0.056183	0.111883	1176.099788	
21	22	1.923050	0.000000	-70.408824	1250.993408	0.483104	0.064867	0.123210	1182.507634	
22	23	2.069641	0.000000	-69.565414	1255.787354	0.482770	0.051795	0.132689	1188.291580	
23	24	2.225923	0.000000	-68.726697	1260.647705	0.482410	0.051401	0.138249	1194.146931	
24	26	2.403519	0.000000	-67.864293	1265.089111	0.482018	0.050580	0.138225	1199.628337	
25	27	2.606518	0.000000	-66.937292	1269.710083	0.481593	0.056330	0.152499	1205.379309	
26	30	2.817894	0.000000	-66.013668	1273.732788	0.481131	0.051493	0.163086	1210.537014	
27	30	3.076447	0.000000	-65.002221	1278.583496	0.480630	0.058769	0.180005	1216.657722	
28	32	3.340920	0.000000	-63.996694	1283.486572	0.480088	0.050664	0.190555	1222.830799	
29	33	3.635828	0.000000	-62.971602	1288.398315	0.479502	0.050427	0.201322	1229.062542	
30	35	3.957602	0.000000	-61.928375	1294.136963	0.478869	0.051159	0.210418	1236.166189	
31	36	4.310537	0.000000	-60.866022	1298.584717	0.478189	0.050000	0.222642	1242.029232	
32	0	0.000000	0.000000	-59.788839	1306.521973	0.477458	0.000000	0.000000	1246.733133	ALL_CELLS_DEAD
33	0	0.000000	0.000000	-59.788839	1311.920654	0.476676	0.000000	0.000000	1252.131815	
34	0	0.000000	0.000000	-59.788839	1317.230225	0.475841	0.000000	0.000000	1257.441385	
