tick	y	x	parent_dir	parent_y	parent_x	parent_living	parent_hidden	parent_sharing	child_sharing	birth_energy	giver_weight_sum
0	35	35	1	36	36	1	1.000000	0.900000	0.900000	0.113309	0.113309
0	35	36	2	36	36	1	1.000000	0.900000	0.900000	0.112093	0.112093
0	35	37	3	36	36	1	1.000000	0.900000	0.900000	0.109981	0.109981
1	34	34	1	35	35	1	1.000000	0.900000	0.900000	0.064992	0.064992
1	34	35	1	35	36	1	1.000000	0.900000	0.900000	0.163977	0.163977
1	34	36	2	35	36	1	1.000000	0.900000	0.900000	0.199154	0.199154
1	34	37	3	35	36	1	1.000000	0.900000	0.900000	0.159722	0.159722
1	34	38	3	35	37	1	1.000000	0.900000	0.900000	0.064526	0.064526
1	35	34	0	35	35	1	1.000000	0.900000	0.900000	0.066232	0.066232
1	35	38	4	35	37	1	1.000000	0.900000	0.900000	0.061459	0.061459
1	36	34	7	35	35	1	1.000000	0.900000	0.900000	0.056912	0.056912
2	33	35	1	34	36	1	1.000000	0.900000	0.900000	0.089566	0.089566
2	33	36	2	34	36	1	1.000000	0.900000	0.900000	0.107337	0.107337
2	35	33	1	36	34	1	1.000000	0.900000	0.900000	0.056019	0.056019
2	35	35	7	34	36	1	1.000000	0.900000	0.900000	0.107069	0.107069
2	36	33	0	36	34	1	1.000000	0.900000	0.900000	0.052836	0.052836
3	32	35	1	33	36	1	1.000000	0.900000	0.900000	0.061411	0.061411
3	32	36	2	33	36	1	1.000000	0.900000	0.900000	0.058326	0.058326
3	34	34	1	35	35	1	1.000000	0.900000	0.900000	0.081281	0.081281
3	34	35	7	33	36	1	1.000000	0.900000	0.900000	0.068620	0.068620
3	35	32	1	36	33	1	1.000000	0.900000	0.900000	0.050549	0.050549
3	35	34	0	35	35	1	1.000000	0.900000	0.900000	0.093320	0.093320
3	36	32	0	36	33	1	1.000000	0.900000	0.900000	0.050180	0.050180
3	36	34	7	35	35	1	1.000000	0.900000	0.900000	0.099885	0.099885
4	31	34	1	32	35	1	1.000000	0.900000	0.900000	0.057630	0.057630
4	31	35	1	32	36	1	1.000000	0.900000	0.900000	0.148366	0.148366
